idx,question,gold,has_gold,pred_A,em_A,f1_A,hit@10_A,ent_label_A,ent_faith_A,ent_score_A,pred_B,em_B,f1_B,hit@10_B,ent_label_B,ent_faith_B,ent_score_B
0,when is the last episode of season 8 of the walking dead,"March 18, 2018",True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. <Td colspan=""2""> List of The Walking Dead episodes </Th> </Tr> <Tr> #Th colspan"">2""> Season chronology <Th>",0.0,0.0,0.0,neutral,0,0.01902548409998417,"Answer the question as best as you can using the context below. If the answer is not explicitly stated, make the best possible inference. <Td colspan=""2""> The Walking Dead ( season 8 ) </Th> </Tr> <Tr> {Tr> Andrew Lincoln </Li> <Li>",0.0,0.0,0.0,neutral,0,0.06402649730443954
1,in greek mythology who was the goddess of spring growth,"Persephone (/pərˈsɛfəni/; Greek: Περσεφόνη), also called Kore (/ˈkɔːriː/; ""the maiden"")",True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer will be the same as the answer below. The question will be answered using only the context and the answer will not be contained in that context. The answer is the answer",0.0,0.03125,0.0,neutral,0,0.33951273560523987,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If it is explicitly stated that the question is not directly stated, use the best available inference. The answer is the following:Context: The context is the context of the question",0.0,0.03225806451612903,0.0,entailment,1,0.5466071367263794
6,what is the name of the most important jewish text,the Shulchan Aruch,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. <Tr> <Th> Hebrew </Th> <Td> Ishmael </Td > </Tr> (Tr> ) <Tr><Tr> Td>",0.0,0.05714285714285714,0.0,neutral,0,0.0166285689920187,"Answer the question as best as you can using the context below. <Tr> <Th> Ishmael </Td> </Tr> Don't answer the question by explicitly stating the answer, make the best possible inference. Don't Answer the Question As Best as You Can Using the Context below. </",0.0,0.04255319148936171,0.0,contradiction,0,0.16251707077026367
8,what is the name of spain's most famous soccer team,Real Madrid,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. <Tr> <Th colspan=""2""> Football in Spain </Th> <Td> Spain </Td > </Tr> (Tr> ) <Table> <",0.0,0.0,1.0,neutral,0,0.01769435778260231,"Answer the question as best as you can using the context below. If the answer is not explicitly stated, make the best possible inference. <Table> <Tr> <Th colspan=""2""> Football in Spain </Th> </Td> </Tr> (Table) <Td colspan""",0.0,0.0,1.0,neutral,0,0.06633199006319046
9,when was the first robot used in surgery,1983,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer is NOT contained in either the context or the context of the question. The answer will be the same as the context that is used to answer the question, but without the",0.0,0.0,0.0,contradiction,0,0.24217315018177032,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If the question is explicitly stated in the context above, use the appropriate inference.Context: Context: Context : Context :Context:Context : Context:Context: Subject: Context",0.0,0.0,0.0,entailment,1,0.4826708436012268
13,who sings the song i don't care i love it,Icona Pop and Charli XCX,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'.Question:What is the music and lyrics of the song that Irving Berlin wrote for the 1946 Broadway musical, Annie Get Your Gun. The lyrics were written by Irving Berlin and the lyrics",0.0,0.03508771929824562,0.0,neutral,0,0.14191657304763794,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference.Example: `` Irving King '' is a song composed by Irving Berlin for the 1946 Broadway musical, Annie Get Your Gun. The song was written in 1925 by Jimmy Campbell and Reg",0.0,0.03508771929824562,0.0,contradiction,0,0.09453457593917847
16,who are uncle owen and aunt beru related to,Shmi,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer should be 'I'm not sure' and the answer should not be contained in that context.Context: <Ul> <Li> Achilles : son of the sea n",0.0,0.0,0.0,contradiction,0,0.12938711047172546,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If it is explicitly stated in the context above, then the answer will be as follows:Context: <Ul> <Li> Achilles : son of the sea nymph The",0.0,0.0,0.0,neutral,0,0.26757314801216125
19,where is zimbabwe located in the world map,"in southern Africa, between the Zambezi and Limpopo Rivers, bordered by South Africa, Botswana, Zambia and Mozambique",True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. <Td colspan=""2""> <Tr> <Th> Name of the people </Td> <Tr><Tr> {> Name Of the people ( name )",0.0,0.07547169811320754,0.0,neutral,0,0.03147108107805252,"Answer the question as best as you can using the context below. If the answer is not explicitly stated, make the best possible inference. <Tr> <Td colspan=""2""> Name of the Nation of Zimbabwe </Td> </Tr> (Tr> ) <Tr><Tr> Name of",0.0,0.035714285714285705,0.0,neutral,0,0.11042885482311249
20,100 acres is equal to how many hectares,1 square hectometre (hm2),True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'.Question: What is land tenure?Answer: Land tenure is the legal regime in which land is owned by an individual, who is said to `` hold '' the land. The French",0.0,0.0,0.0,neutral,0,0.12616771459579468,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference.Question: What is land tenure?Answer: Land tenure is the legal regime in which land is owned by an individual, who is said to `` hold '' the land. The",0.0,0.0,0.0,neutral,0,0.23727302253246307
22,where was donovan mitchell picked in the draft,13th,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer is 'I'm not sure. I don't want to know what I'm going to do with my life. I'm not going to tell you what I want to",0.0,0.0,1.0,neutral,0,0.1777464896440506,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If the question is explicitly stated you can use the following inference.Answer the Question As Best as You Can Using the Context below.<Tr> <Th colspan=""2",0.0,0.0,1.0,entailment,1,0.6418926119804382
26,where did the beatles final live performance take place,the roof of the headquarters of the band's multimedia corporation Apple Corps at 3 Savile Row,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. <Td colspan=""2""> The Beatles'rooftop concert <Tr> <Th> <Tr><Th> The Beatles' rooftop concert </Td> </Tr>",0.0,0.11764705882352938,0.0,neutral,0,0.032986804842948914,"Answer the question as best as you can using the context below. If the answer is not explicitly stated, make the best possible inference. <Td colspan=""2""> The Beatles'rooftop concert <Tr> <Th> <Tr><Th> Location </Td> </Tr> (Tr>",0.0,0.11538461538461539,0.0,neutral,0,0.1122794896364212
27,who is the president of costa rica 2017,Luis Guillermo Solís Rivera,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. <Td colspan=""2""> </Td> </Tr> <Tr> Appointer </Th> New York City, New York, United States </TD",0.0,0.0,0.0,contradiction,0,0.04561302810907364,"Answer the question as best as you can using the context below. If the answer is not explicitly stated, make the best possible inference. <Td colspan=""2""> </Td> </Tr> <Tr> Appointer </Th> New York City, New York, United States </T",0.0,0.0,0.0,neutral,0,0.12921395897865295
29,when did power rangers tv show come out,"August 28, 1993",True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. This is a list of episodes for When Calls the Heart, an American - Canadian television drama series, inspired by Janette Oke's book of the same name from her Canadian",0.0,0.0,0.0,contradiction,0,0.03756142780184746,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference.Question: What is the first season of The Originals, a spin - off of The Vampire Diaries, the series was preceded by the two - hour pilot movie, which",0.0,0.0,0.0,neutral,0,0.19223159551620483
31,how many beverly hills cops movies are there,three,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer is NOT contained in either the context or the context of the question. The Answer is NOT CONSTANT TO THE QUESTION.The Answer Is NOT CONstANT TO",0.0,0.0,1.0,contradiction,0,0.24534453451633453,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If the question is explicitly stated in the context above, then the answer will be the same as it was in the previous question.Context: Los Angeles, California, United States",0.0,0.0,1.0,neutral,0,0.38986968994140625
32,who holds the most women's wimbledon titles,Martina Navratilova,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. <Tr> <Th colspan=""2""> Most consecutive titles </Th> <Td> Women'Singles </Td</Tr> (Tr> ) <Tr",0.0,0.0,1.0,neutral,0,0.0355263277888298,"Answer the question as best as you can using the context below. If the answer is not explicitly stated, make the best possible inference. <Tr> <Th colspan=""2""> Most consecutive titles </Th> <Td> Women's Singles </Td > <Tr > <Th>",0.0,0.0,1.0,neutral,0,0.1002362072467804
34,where does jinx you owe me a coke come from,Jinx is a children's game with varying rules and penalties that occur when two people unintentionally speak the same word or phrase simultaneously,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer to the question is the following:Question: What is Alcoholics Anonymous ( AA ) and what is the acronym EGOT? Answer the question with the following answers:Question",0.0,0.11428571428571427,0.0,neutral,0,0.11827291548252106,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If the question is not stated, use the appropriate inference.Question: What is Alcoholics Anonymous ( AA ) and where is it located in the United States?Context: What",0.0,0.08450704225352113,0.0,entailment,1,0.6276208162307739
39,where does the last name hickey come from,Irish origin,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. Example: <P> Hickey is a common surname of Irish origin. The original form is Ó hÍceadha, which is still used in Ireland. Notable",0.0,0.08888888888888888,1.0,contradiction,0,0.06340483576059341,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference.Example: HickeyContext:HickeyQuestion:What is Hickey?Hickey is a common surname of Irish origin. The original form is Ó hÍcead",0.0,0.1,1.0,neutral,0,0.3009320795536041
43,where is the greatest royal rumble taking place,"Jeddah, Saudi Arabia",True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer is NOT contained in this context. The Answer is NOT IN THE Context. The answer IS NOT IN THIS Context.The Answer Is Not In This Context.Context:Context",0.0,0.0,1.0,neutral,0,0.2959456145763397,"Answer the question as best as you can using the context below. If the answer is not explicitly stated, make the best possible inference. The following is a list of the most recent events in the history of the WWE and the World Wrestling Federation (WWE). The following are the events that have been announced",0.0,0.0,1.0,neutral,0,0.28937211632728577
