idx,question,gold,has_gold,pred_A,em_A,f1_A,hit@10_A,ent_label_A,ent_faith_A,ent_score_A,pred_B,em_B,f1_B,hit@10_B,ent_label_B,ent_faith_B,ent_score_B
0,when is the last episode of season 8 of the walking dead,"March 18, 2018",True,I don't know,0.0,0.0,0.0,contradiction,0,0.1738702803850174,The United States.,0.0,0.0,0.0,neutral,0,0.25484514236450195
1,in greek mythology who was the goddess of spring growth,"Persephone (/pərˈsɛfəni/; Greek: Περσεφόνη), also called Kore (/ˈkɔːriː/; ""the maiden"")",True,I don't know,0.0,0.0,0.0,neutral,0,0.020618673413991928,"The Egyptians divided the day into two 12 - hour periods, and used large obelisks to track the movement of the sun.",0.0,0.06666666666666667,0.0,neutral,0,0.37951162457466125
2,benefits of colonial life for single celled organisms,,False,Food,,,,neutral,0,0.1649283468723297,"The Columbian Exchange was the widespread transfer of plants, animals, culture, human populations, technology, and ideas between the Americas and the Old World in the 15th and 16th centuries, related to European colonization and trade after Christopher Columbus's 1492 voyage.",,,,neutral,0,0.12332051992416382
3,how many season of the man in the high castle,,False,David Benioff,,,,neutral,0,0.24756962060928345,David Benioff and D.B. Weiss.,,,,entailment,1,0.9483661651611328
4,who was the first ministry head of state in nigeria,,False,I don't know,,,,contradiction,0,0.15102817118167877,The following are the presidential and parliamentary elections in Nigeria since 2011:,,,,neutral,0,0.03716032952070236
5,how many nominations does game of thrones have,,False,I don't know,,,,neutral,0,0.1479066163301468,The Emmys are the most popular show in the United States.,,,,neutral,0,0.003405340015888214
6,what is the name of the most important jewish text,the Shulchan Aruch,True,I don't know,0.0,0.0,0.0,contradiction,0,0.18868230283260345,The Torah is a Torah that is taught in the Torah.,0.0,0.14285714285714288,0.0,entailment,1,0.6828359961509705
7,until we meet again filipino soap episode 10,,False,Awkward,,,,neutral,0,0.2546902596950531,Awkward.,,,,neutral,0,0.3519560694694519
8,what is the name of spain's most famous soccer team,Real Madrid,True,I don't know,0.0,0.0,1.0,contradiction,0,0.1578264832496643,/Td> /Tr> /Tr> /Tr> /Tr> /Tr> /Tr> /Tr> /Tr> /Tr> /T,0.0,0.0,1.0,contradiction,0,0.36379092931747437
9,when was the first robot used in surgery,1983,True,cells of life,0.0,0.0,0.0,neutral,0,0.1760578751564026,"Cell theory is the historic scientific theory, now universally accepted, that living organisms are made up of cells, that they are the basic",0.0,0.0,0.0,neutral,0,0.15311633050441742
10,who are the actors in fast and furious,,False,I don't know,,,,contradiction,0,0.009475715458393097,The show is set in New Orleans which the Mikaelson family and original vampires helped to build.,,,,contradiction,0,0.03973091393709183
11,when does tom paris become a lieutenant again,,False,I don't know,,,,contradiction,0,0.16248393058776855,The episode title refers to the hospital.,,,,contradiction,0,0.05407770350575447
12,who sang the song i'm a nut,,False,I don't know,,,,contradiction,0,0.18890239298343658,"Kilmer is most remembered for  Trees '', which has been the subject of frequent parodies and references in popular culture.",,,,entailment,1,0.9771749377250671
13,who sings the song i don't care i love it,Icona Pop and Charli XCX,True,I don't know,0.0,0.0,0.0,neutral,0,0.1122191771864891,The Billboard Hot 100 is a chart that ranks the best singles of the United States.,0.0,0.0,0.0,entailment,1,0.9580484628677368
14,what does the key to the city entitle you to,,False,international transactions.,,,,neutral,0,0.139157235622406,"The Freedom of the City is an honour bestowed by a municipality upon a valued member of the community, or upon a visiting celebrity or dignitary.",,,,entailment,1,0.9843080639839172
15,when did fast and furious 5 come out,,False,I don't know,,,,neutral,0,0.2627076208591461,The Turbo Charged Prelude for 2 Fast 2 Furious ( 2003 ) /Li> Li> Los Bandoleros ( 2009 ) /Li> /Li> /Li>,,,,neutral,0,0.3255375027656555
16,who are uncle owen and aunt beru related to,Shmi,True,I don't know,0.0,0.0,0.0,contradiction,0,0.11911953240633011,Hera).,0.0,0.0,0.0,entailment,1,0.422708660364151
17,when the clear air act was revised in 1990 it gave states,,False,I don't know,,,,neutral,0,0.2249061018228531,The Clean Air Act of 1963 was enacted by the 88th United States Congress.,,,,entailment,1,0.9854265451431274
18,what is sauce for the goose is sauce for the gander examples,,False,I don't know,,,,neutral,0,0.20162394642829895,The proverb is a proverb that has been around for millennia.,,,,entailment,1,0.6563584208488464
19,where is zimbabwe located in the world map,"in southern Africa, between the Zambezi and Limpopo Rivers, bordered by South Africa, Botswana, Zambia and Mozambique",True,I don't know,0.0,0.0,0.0,contradiction,0,0.10989360511302948,The Republic of Zimbabwe /Th> /Th> /Tr> /Tr> /Tr> /Tr> /Tr> /Tr> /Tr> /Tr> ,0.0,0.06451612903225808,0.0,contradiction,0,0.3803670406341553
20,100 acres is equal to how many hectares,1 square hectometre (hm2),True,U.S. are covered by land tenure.,0.0,0.0,0.0,entailment,1,0.5635651350021362,U.S.,0.0,0.0,0.0,neutral,0,0.25663328170776367
21,who has won a calendar grand slam in tennis,,False,I don't know,,,,contradiction,0,0.01128263771533966,Runner - up /Th> Td> Marin ili /Td> /Tr> Tr>,,,,contradiction,0,0.006922923028469086
22,where was donovan mitchell picked in the draft,13th,True,I don't know,0.0,0.0,1.0,contradiction,0,0.2030608355998993,"Donovan Mitchell Tr> Th colspan=""2""> No. 45 -- Utah Jazz /Th> /Th> /Th> /Th> /Th> /Th> /Th> /Th",0.0,0.0,1.0,entailment,1,0.8768400549888611
23,list of food and beverage companies in the philippines,,False,industry,,,,neutral,0,0.23865583539009094,industry.,,,,neutral,0,0.18240661919116974
24,where does british airways fly to in south america,,False,I don't know,,,,neutral,0,0.036674756556749344,the most northerly circle of latitude on Earth at which the Sun can be directly overhead,,,,neutral,0,0.11982471495866776
25,what is the enthalpy of formation of cao(s),,False,I don't know,,,,contradiction,0,0.022056668996810913,Earth's atmosphere.,,,,contradiction,0,0.06094329059123993
26,where did the beatles final live performance take place,the roof of the headquarters of the band's multimedia corporation Apple Corps at 3 Savile Row,True,I don't know,0.0,0.0,0.0,contradiction,0,0.1542579084634781,Wembley Stadium.,0.0,0.0,0.0,neutral,0,0.07528059929609299
27,who is the president of costa rica 2017,Luis Guillermo Solís Rivera,True,I don't know,0.0,0.0,0.0,contradiction,0,0.16036725044250488,Luis Guillermo Sols /Th> /Tr> /Tr> /Tr> /Tr> /Tr> /Tr> /Tr> /Tr> ,0.0,0.375,0.0,entailment,1,0.6372531652450562
28,describe charlemagne in the epic the song of roland,,False,Beowulf,,,,contradiction,0,0.12842312455177307,"The poem was written by Jonathan Swift, who was most famous for his book Gulliver's Travels.",,,,contradiction,0,0.0014431242598220706
29,when did power rangers tv show come out,"August 28, 1993",True,I don't know,0.0,0.0,0.0,neutral,0,0.007188296876847744,HBO show had been cancelled.,0.0,0.0,0.0,contradiction,0,0.003745800582692027
