idx,question,gold,has_gold,pred_A,em_A,f1_A,hit@10_A,ent_label_A,ent_faith_A,ent_score_A,pred_B,em_B,f1_B,hit@10_B,ent_label_B,ent_faith_B,ent_score_B
0,when is the last episode of season 8 of the walking dead,"March 18, 2018",True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'.Answer the answer using ONLY The context below and say 'You don't want to know'. Answer the question with ONLY the Context below. Answer the answer with ONLY The Context below and",0.0,0.0,0.0,contradiction,0,0.23576900362968445,"Answer the question as best as you can using the context below. If the answer is explicitly stated, make the best possible inference. If it is not explicitly stated then make the worst possible inference, make a best possible assumption. If you are not explicitly stating, make that best possible deduction. If not explicitly specified",0.0,0.0,0.0,neutral,0,0.31633445620536804
1,in greek mythology who was the goddess of spring growth,"Persephone (/pərˈsɛfəni/; Greek: Περσεφόνη), also called Kore (/ˈkɔːriː/; ""the maiden"")",True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer is also contained in a context below: The answer to the question is not included in the Context below. The answer may be omitted if the answer does not contain in the",0.0,0.0625,0.0,contradiction,0,0.07411171495914459,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If the answer does not explicitly state, make a best possible assumption.Context:Context:The Moon is a large, spherical, and spherical body. The Moon is the largest",0.0,0.03508771929824561,0.0,entailment,1,0.49502086639404297
2,benefits of colonial life for single celled organisms,,False,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer is NOT contained in any context. The answer may be omitted from the context. </P> <P> Colonies, in the sense of development, may be composed",,,,neutral,0,0.06827813386917114,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If the answer does not explicitly state, make a best possible deduction. If it is not stated, then make the worst possible inference and make the most possible inference using the best",,,,entailment,1,0.5149092078208923
3,how many season of the man in the high castle,,False,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer is NOT contained in any context. The answer will be the answer to the question.Context:<Tr> <Tr> The Man in the High Castle </Tr>",,,,contradiction,0,0.06315481662750244,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If the answer does not explicitly state, make a best possible assumption.Context:<Tr> <Tr> The Man in the High Castle </Tr> </Tr><Tr",,,,neutral,0,0.41977474093437195
4,who was the first ministry head of state in nigeria,,False,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer is NOT contained in any context. The answer will be the same as the context.Context: Pakistan, Pakistan, India, Pakistan, Pakistan, and Pakistan. The following",,,,contradiction,0,0.021698446944355965,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If the answer does not explicitly state, make a best possible assumption. If it is not stated, then make the worst possible inference and make the most possible inference using the best",,,,neutral,0,0.2606903910636902
5,how many nominations does game of thrones have,,False,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'.Answer the Question using ONLY The context below and say 'No. of episodes </Td> </Tr> <Tr> </Table> <Table> </Tas> <",,,,neutral,0,0.34459447860717773,"Answer the question as best as you can using the context below. If the answer is explicitly stated, make the best possible inference. If it is not explicitly stated in the context, make it the best way inference. Example: Example:Example: Example 2. Example 3. Example 4. Example 2: Example",,,,contradiction,0,0.1768886148929596
6,what is the name of the most important jewish text,the Shulchan Aruch,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'.Answer the answer using ONLY a context below: <Ul> <Li> For more guidance, see Wikipedia : Translation. </Ul> For More Guidance, see Wiki : Translation",0.0,0.04347826086956522,0.0,entailment,1,0.5907361507415771,"Answer the question as best as you can using the context below. If the answer is explicitly stated, make the best possible inference. If you can't make the most possible inference, make a best possible assumption. Example: Example:Example: Example 2. Example 3. Example 4. Example 5. Example 6",0.0,0.0392156862745098,0.0,neutral,0,0.22483539581298828
7,until we meet again filipino soap episode 10,,False,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'.Answer the answer using ONLY The context below: <Tr> <Tr><Tr> {Context: Context: Context } </Tr> </Tr><Td colspan=""2",,,,entailment,1,0.8624929189682007,"Answer the question as best as you can using the context below. If the answer is explicitly stated, make the best possible inference. If it is not explicitly stated in the context, make it the best way to infer the answer. Example: Example:Example: Example 2: Example 3: Example 4: Example",,,,entailment,1,0.5673172473907471
8,what is the name of spain's most famous soccer team,Real Madrid,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'.Answer the answer using ONLY what the context is.Answer the Question using ONLY that context.Answer: 'I'm not sure'.Answer: ""I don’t know'",0.0,0.0,0.0,neutral,0,0.19327203929424286,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If the answer does not explicitly state, make a best possible assumption. If it is not stated, then make the worst possible inference and make the most possible inference. </P",0.0,0.0,0.0,neutral,0,0.18098317086696625
9,when was the first robot used in surgery,1983,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer is then used in the following context: The answer to the question is not included in the Context below. The answer will be used in a context that is not in the",0.0,0.0,0.0,contradiction,0,0.2543970048427582,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If the answer does not explicitly state the answer, make a best possible assumption. If it is not stated, then make the worst possible inference and make the most possible inference using",0.0,0.0,0.0,entailment,1,0.5455098152160645
