idx,question,gold,pred,hit@1,hit@3,hit@5,hit@10,precision@1,precision@3,precision@5,precision@10,rr@1,rr@3,rr@5,rr@10,em,f1,rougeL,bleu,retriever,generator
0,when is the last episode of season 8 of the walking dead,"March 18, 2018","February 25, 2018",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333.333.333.333.330,3.333.333.333.333.330,0.0,DPR,T5
1,in greek mythology who was the goddess of spring growth,"Persephone (/pərˈsɛfəni/; Greek: Περσεφόνη), also called Kore (/ˈkɔːriː/; ""the maiden"")",cherry blossom,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
6,what is the name of the most important jewish text,the Shulchan Aruch,The Torah,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,DPR,T5
8,what is the name of spain's most famous soccer team,Real Madrid,Real Madrid,0,0,1,1,0.0,0.0,0.2,0.3,0.0,0.0,0.2,0.2,1.0,1.0,1.0,0.0,DPR,T5
9,when was the first robot used in surgery,1983,I don't know,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
13,who sings the song i don't care i love it,Icona Pop and Charli XCX,Icona Pop,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.714.285.714.285.710,5.714.285.714.285.710,0.0,DPR,T5
16,who are uncle owen and aunt beru related to,Shmi,Luke Skywalker,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
20,100 acres is equal to how many hectares,1 square hectometre (hm2),405,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
22,where was donovan mitchell picked in the draft,13th,Denver Nuggets,1,1,1,1,1.0,6.666.666.666.666.660,0.4,0.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,DPR,T5
27,who is the president of costa rica 2017,Luis Guillermo Solís Rivera,Ram Nath Kovind,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,DPR,T5
29,when did power rangers tv show come out,"August 28, 1993","August 28, 1993",1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,DPR,T5
31,how many beverly hills cops movies are there,three,I don't know,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,DPR,T5
32,who holds the most women's wimbledon titles,Martina Navratilova,Venus Williams,0,1,1,1,0.0,3.333.333.333.333.330,0.2,0.1,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,DPR,T5
39,where does the last name hickey come from,Irish origin,I don't know,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
43,where is the greatest royal rumble taking place,"Jeddah, Saudi Arabia","Jeddah, Saudi Arabia",1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,DPR,T5
44,who sang my name is tallulah in bugsy malone,"Louise ""Liberty"" Williams",I don't know,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
48,what is andy's sisters name in toy story,Molly,Penny Proud,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
49,who sings with shaggy on it wasn me,English-Jamaican singer Rikrok,Rikrok,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,0.0,0.4,0.4,0.0,DPR,T5
51,what is the largest catholic high school in america,St. Francis Preparatory School,St. Francis Preparatory School,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,DPR,T5
52,who established the peoples republic of china in 1949,Mao Zedong,Mao,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666.666.666.666.660,6.666.666.666.666.660,0.0,DPR,T5
54,who sang take that look off your face,Marti Webb,Marti Webb,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,DPR,T5
55,who plays percy in the lost city of z,Charlie Hunnam,I don't know,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
58,who plays the first lady on house of cards,Joanna C. Going,Dominique McElligott,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
65,who owns st andrews golf course in scotland,The St Andrews Links Trust,The St Andrews Links Trust,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,DPR,T5
68,which city and state hosts the annual college world series,"Omaha, Nebraska",Omaha,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,0.0,6.666.666.666.666.660,6.666.666.666.666.660,0.0,DPR,T5
69,who is ted talking about in how i met your mother,Tracy McConnell,Tracy McConnell,1,1,1,1,1.0,6.666.666.666.666.660,0.6,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,DPR,T5
72,when does grey's anatomy season 14 premiere,"September 28, 2017","September 28, 2017",1,1,1,1,1.0,6.666.666.666.666.660,0.4,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,DPR,T5
76,what was uncle jesse's original last name on full house,Cochran,Tanner,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
78,who pays the judgements on the judge mathis show,Greg Mathis,public voting,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
79,who made up the elf on the shelf,Chanda Bell,Carol Aebersold and her daughter Chanda Bell,1,1,1,1,1.0,3.333.333.333.333.330,0.4,0.2,1.0,1.0,1.0,1.0,0.0,4.444.444.444.444.440,4.444.444.444.444.440,0.0,DPR,T5
82,who warned concord that the british were coming,Samuel Prescott,Samuel Prescott,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,DPR,T5
83,who lasted the longest on alone season 2,David McIntyre,Eric Server,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
88,where is the us military base in japan,"Yokota Air Base, Fussa, Western Tokyo","Yokota Air Base, Tokyo, Japan",0,1,1,1,0.0,3.333.333.333.333.330,0.2,0.1,0.0,0.5,0.5,0.5,0.0,7.272.727.272.727.270,7.272.727.272.727.270,39.442.436.483.275.500,DPR,T5
89,who determines the size of the supreme court,Congress,President,0,0,0,1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,14.285.714.285.714.200,0.0,0.0,0.0,0.0,DPR,T5
90,who is the actor that plays lucifer on tv,Thomas John Ellis,Thomas John Ellis,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,DPR,T5
96,who designed the national coat of arms of south africa,Iaan Bekker,Theodosia Okoh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
98,when does model code of conduct come into force,immediately on announcement of the election schedule by the commission,immediately,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,0.0,18.181.818.181.818.100,18.181.818.181.818.100,0.0,DPR,T5
111,when did now thats what i call music come out,28 November 1983,29 April 2016,0,0,0,1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,DPR,T5
113,where is the 2018 grey cup being played,"The Brick Field at Commonwealth Stadium in Edmonton, Alberta","at U.S. Bank Stadium in Minneapolis, Minnesota, United States",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.157.894.736.842.100,3.157.894.736.842.100,0.0,DPR,T5
116,where did the band bastille get their name,Bastille Day,Bastille Day,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,DPR,T5
118,who plays nicholas in the princess diaries 2,Chris Pine,I don't know,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
122,the p-wave phase of an electrocardiogram (ecg) represents,atrial depolarization,a different morphology from normal,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
123,when did star trek the next generation first air,"September 28, 1987",1987,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,DPR,T5
132,who sang the most wonderful summer of my life,Jackie Ward,Jackie Ward,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,DPR,T5
137,how many oscars did on golden pond win,three,I don't know,0,0,1,1,0.0,0.0,0.2,0.2,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,DPR,T5
139,who won season 4 of america's got talent,Kevin Skinner,Michael Grimm,0,1,1,1,0.0,3.333.333.333.333.330,0.2,0.2,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,DPR,T5
140,how many episodes on queen of the south season 1,13,I don't know,0,1,1,1,0.0,3.333.333.333.333.330,0.2,0.2,0.0,3.333.333.333.333.330,3.333.333.333.333.330,3.333.333.333.333.330,0.0,0.0,0.0,0.0,DPR,T5
143,who is the existing prime minister of pakistan,Imran Khan,Benazir Bhutto,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
144,who is known as the father of texas,Stephen Fuller Austin,Stephen Fuller Austin,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,DPR,T5
146,what is the orange stuff on my sushi,tobiko,tobiko,0,0,1,1,0.0,0.0,0.2,0.1,0.0,0.0,0.25,0.25,1.0,1.0,1.0,0.0,DPR,T5
149,when did nsw last won a state of origin series,2018,I don't know,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,DPR,T5
150,when does life is strange before the storm part 2,October 2017,August and December 2017,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333.333.333.333.330,3.333.333.333.333.330,0.0,DPR,T5
154,when did the xbox 360 slim come out,in 2010,I don't know,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
166,who spread the theory that one is a product of the mind and body,René Descartes,Herbert Spencer,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,DPR,T5
168,how many goals scored ronaldo in his career,over 670,I don't know,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
178,when did the hornets move to new orleans,2002–03 season,I don't know,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
186,fish appeared in the fossil record during the,the Cambrian explosion,Cambrian,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,DPR,T5
190,who died from the band faith no more,singer Chuck Mosley,Brent Wilson,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
193,who signed the gun control act of 1968,President Lyndon B. Johnson,Lyndon B. Johnson,0,1,1,1,0.0,3.333.333.333.333.330,0.2,0.2,0.0,0.5,0.5,0.5,0.0,8.571.428.571.428.570,8.571.428.571.428.570,7.788.007.830.714.040,DPR,T5
195,where do frankenstein and the monster first meet,the mountains,a hollow,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,DPR,T5
196,the human tendency to mimic other people’s behavior is an example of,Mirroring,mirroring,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,DPR,T5
199,how is the head of the church of england,the monarch is the supreme governor,pope,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
205,how to remove a methyl group from benzene,replacement of a methyl group by a hydrogen atom,Demethylation,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,DPR,T5
209,the cuban missile crisis began in 1962 when which country placed nuclear missiles in cuba,Soviet Union,the soviet union,1,1,1,1,1.0,1.0,0.8,0.5,1.0,1.0,1.0,1.0,0.0,0.8,0.8,0.0,DPR,T5
212,when did fasb codification become authoritative u.s. gaap,"after September 15, 2009",I don't know,0,1,1,1,0.0,3.333.333.333.333.330,0.2,0.1,0.0,3.333.333.333.333.330,3.333.333.333.333.330,3.333.333.333.333.330,0.0,0.0,0.0,0.0,DPR,T5
213,who plays frank in f is for family,Bill Burr,Kevin Spacey,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
216,android operating system was acquired by google in,July 2005,I don't know,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
219,who played daniel in the bible mini series,Jake Canuso,I don't know,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
222,when is the last movie of divergent coming out,TBA,I don't know,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
223,the former peterlee campus of east durham college,East Durham & Houghall Community College,Houghall campus,1,1,1,1,1.0,3.333.333.333.333.330,0.2,0.1,1.0,1.0,1.0,1.0,0.0,28.571.428.571.428.500,28.571.428.571.428.500,0.0,DPR,T5
225,the amount of light reflected from the front surface of common window glass is about,about 4% per surface,92 %,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
227,how many cm is a 24 inch tv,61,I don't know,0,0,0,1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,125,0.0,0.0,0.0,0.0,DPR,T5
233,where was the walking dead season 7 filmed,Georgia,"Wayne County, New York",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DPR,T5
236,who plays male lead in far from the madding crowd,Carey Mulligan,Warwick Ashley Davis,1,1,1,1,1.0,6.666.666.666.666.660,0.4,0.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,DPR,T5
