idx,question,gold,has_gold,pred_A,em_A,f1_A,hit@10_A,ent_label_A,ent_faith_A,ent_score_A,pred_B,em_B,f1_B,hit@10_B,ent_label_B,ent_faith_B,ent_score_B
0,when is the last episode of season 8 of the walking dead,"March 18, 2018",True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'.Answer the answer using ONLY The context below and say 'You don't want to know'. Answer the question with ONLY the Context below. Answer the answer with ONLY The Context below and",0.0,0.0,0.0,contradiction,0,0.23576900362968445,"Answer the question as best as you can using the context below. If the answer is explicitly stated, make the best possible inference. If it is not explicitly stated then make the worst possible inference, make a best possible assumption. If you are not explicitly stating, make that best possible deduction. If not explicitly specified",0.0,0.0,0.0,neutral,0,0.31633445620536804
1,in greek mythology who was the goddess of spring growth,"Persephone (/pərˈsɛfəni/; Greek: Περσεφόνη), also called Kore (/ˈkɔːriː/; ""the maiden"")",True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer is also contained in a context below: The answer to the question is not included in the Context below. The answer may be omitted if the answer does not contain in the",0.0,0.0625,0.0,contradiction,0,0.07411171495914459,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If the answer does not explicitly state, make a best possible assumption.Context:Context:The Moon is a large, spherical, and spherical body. The Moon is the largest",0.0,0.03508771929824561,0.0,entailment,1,0.49502086639404297
6,what is the name of the most important jewish text,the Shulchan Aruch,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'.Answer the answer using ONLY a context below: <Ul> <Li> For more guidance, see Wikipedia : Translation. </Ul> For More Guidance, see Wiki : Translation",0.0,0.04347826086956522,0.0,entailment,1,0.5907361507415771,"Answer the question as best as you can using the context below. If the answer is explicitly stated, make the best possible inference. If you can't make the most possible inference, make a best possible assumption. Example: Example:Example: Example 2. Example 3. Example 4. Example 5. Example 6",0.0,0.0392156862745098,0.0,neutral,0,0.22483539581298828
8,what is the name of spain's most famous soccer team,Real Madrid,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'.Answer the answer using ONLY what the context is.Answer the Question using ONLY that context.Answer: 'I'm not sure'.Answer: ""I don’t know'",0.0,0.0,0.0,neutral,0,0.19327203929424286,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If the answer does not explicitly state, make a best possible assumption. If it is not stated, then make the worst possible inference and make the most possible inference. </P",0.0,0.0,0.0,neutral,0,0.18098317086696625
9,when was the first robot used in surgery,1983,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer is then used in the following context: The answer to the question is not included in the Context below. The answer will be used in a context that is not in the",0.0,0.0,0.0,contradiction,0,0.2543970048427582,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If the answer does not explicitly state the answer, make a best possible assumption. If it is not stated, then make the worst possible inference and make the most possible inference using",0.0,0.0,0.0,entailment,1,0.5455098152160645
13,who sings the song i don't care i love it,Icona Pop and Charli XCX,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer is NOT contained in any context. The answer IS NOT contained IN THE context below, say'I don't know'. </Tr> <Tr> {Context:",0.0,0.0,0.0,entailment,1,0.47121256589889526,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If the answer does not explicitly state, make a best possible deduction. If it is explicitly stated.Context:Context:<Tr> <Tr> {Context:context:",0.0,0.0,0.0,entailment,1,0.49200209975242615
16,who are uncle owen and aunt beru related to,Shmi,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer is the answer to the question that is not included in the Context below. The answer to this question is the following:Context:Contexts:Context-Context:<",0.0,0.0,0.0,neutral,0,0.3219720125198364,"Answer the question as best as you can using the context below. If the answer is explicitly stated, make the best possible inference. If it is not explicitly stated in the context, make a best possible deduction. If you are not explicitly stating, make your best possible conclusion.Context:1.1.2",0.0,0.0,0.0,entailment,1,0.660256028175354
19,where is zimbabwe located in the world map,"in southern Africa, between the Zambezi and Limpopo Rivers, bordered by South Africa, Botswana, Zambia and Mozambique",True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer is NOT contained in any context. The answer may be omitted if the answer does not contain in the Context below. The Answer: ""I don’t know"".",0.0,0.06060606060606061,0.0,contradiction,0,0.03495980054140091,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If the answer does not explicitly state, make a best possible statement.Context: Cedar River - Cedar River ( Cedar River ) - Cedar Rapids, Iowa ( Cedar Rapids ) -",0.0,0.031746031746031744,0.0,entailment,1,0.5021077394485474
20,100 acres is equal to how many hectares,1 square hectometre (hm2),True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer is the answer to the question that is not in the Context below. The answer to this question is the following: </P> <P> The Morse code code symbol",0.0,0.0,0.0,neutral,0,0.0802808403968811,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference.Example: Morse code code symbol ( letter or numeral ) is a Morse code symbol that represents a letter or dot. The letter or symbol represents a Morse Code symbol ( symbol",0.0,0.0,0.0,neutral,0,0.2836449146270752
22,where was donovan mitchell picked in the draft,13th,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. If the question is not answered, say'I don't know'. The answer is NOT contained in any context. The answer will be answered using ONLY what the question asks.",0.0,0.0,0.0,contradiction,0,0.1867862343788147,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If the answer does not explicitly state, make a best possible assumption. If it is explicitly stated in the context, make that best possible statement.Context: The Mindy Project",0.0,0.0,0.0,entailment,1,0.5801162719726562
