idx,question,gold,has_gold,pred_A,em_A,f1_A,hit@10_A,ent_label_A,ent_faith_A,ent_score_A,pred_B,em_B,f1_B,hit@10_B,ent_label_B,ent_faith_B,ent_score_B
0,when is the last episode of season 8 of the walking dead,"March 18, 2018",True,I don't know,0.0,0.0,0.0,contradiction,0,0.11653642356395721,The Walking Dead ( season 2) /Th> /Tr> /Tr> /Th> /Th> /Th> /Th> /Th> /Th> /Th> /Th> ,0.0,0.0,0.0,entailment,1,0.6973808407783508
1,in greek mythology who was the goddess of spring growth,"Persephone (/pərˈsɛfəni/; Greek: Περσεφόνη), also called Kore (/ˈkɔːriː/; ""the maiden"")",True,I don't know,0.0,0.0,0.0,contradiction,0,0.18433451652526855,Achilles is the son of the sea nymph.,0.0,0.11764705882352941,0.0,neutral,0,0.1382342427968979
2,benefits of colonial life for single celled organisms,,False,I don't know,,,,neutral,0,0.005157673731446266,Deoxyribonucleic acid ( / diks ),,,,neutral,0,0.004546540789306164
3,how many season of the man in the high castle,,False,Ochanda,,,,neutral,0,0.16506698727607727,The name originated in the Basque Country and means  wolf '' in the Basque language ( spelled otsoa or otxoa in Standard Basque ).,,,,neutral,0,0.18620146811008453
4,who was the first ministry head of state in nigeria,,False,Chief of Naval Staff,,,,neutral,0,0.06549334526062012,Chief of Naval Staff.,,,,neutral,0,0.04675067216157913
5,how many nominations does game of thrones have,,False,I don't know,,,,neutral,0,0.2829139530658722,"The first season of the series was released on July 16 ( 2017 - 07 - 16 ) -- August 27, 2017 ( 2017 - 08 - 27 ) /Td> /Tr> /Tr> /Tr> /",,,,contradiction,0,0.1479889154434204
6,what is the name of the most important jewish text,the Shulchan Aruch,True,I don't know,0.0,0.0,0.0,neutral,0,0.07940264046192169,"translators must revise errors as necessary and confirm that the translation is accurate, rather than simply copy - pasting machine - translated text into the English Wikipedia. /Li> Li> Do not translate text that appears unreliable or low - quality.",0.0,0.05,0.0,entailment,1,0.9585715532302856
7,until we meet again filipino soap episode 10,,False,I don't know,,,,contradiction,0,0.29447904229164124,"The original air date was May 3, 2011 ( 2011 - 05 - 03 ) /Td> /Tr> /Tr> /Tr> Tr> Th> Tr> Th> ",,,,neutral,0,0.007496765814721584
8,what is the name of spain's most famous soccer team,Real Madrid,True,I don't know,0.0,0.0,0.0,neutral,0,0.017978930845856667,NBA Finals is the championship series for the NBA and the conclusion of the postseason.,0.0,0.0,0.0,neutral,0,0.010107270441949368
9,when was the first robot used in surgery,1983,True,I don't know,0.0,0.0,0.0,neutral,0,0.18656185269355774,"The Marsh test is a highly sensitive method in the detection of arsenic, especially useful in the field of forensic toxicology when arsenic was used as a poison.",0.0,0.0,0.0,entailment,1,0.9717356562614441
10,who are the actors in fast and furious,,False,I don't know,,,,neutral,0,0.2627076208591461,The Turbo Charged Prelude for 2 Fast 2 Furious ( 2003 ) /Li> Li> Los Bandoleros ( 2009 ) /Li> /Li> /Li>,,,,neutral,0,0.3255375027656555
11,when does tom paris become a lieutenant again,,False,I don't know,,,,neutral,0,0.24193114042282104,"New Mexico resists Texas, applies to New Mexico, applies to New Mexico, applies to New Mexico, applies to New Mexico, applies to New Mexico, applies to New Mexico, applies to New Mexico, applies to New Mexico, applies to New Mexico, applies to New",,,,neutral,0,0.15448330342769623
12,who sang the song i'm a nut,,False,I don't know,,,,neutral,0,0.08870445936918259,"The child questions the accusation,",,,,neutral,0,0.17278368771076202
13,who sings the song i don't care i love it,Icona Pop and Charli XCX,True,I don't know,0.0,0.0,0.0,neutral,0,0.17921778559684753,The song was written by Homer Banks and Bettye Crutcher.,0.0,0.13333333333333333,0.0,contradiction,0,0.009022409096360207
