idx,question,gold,pred,hit@1,hit@3,hit@5,hit@10,precision@1,precision@3,precision@5,precision@10,rr@1,rr@3,rr@5,rr@10,em,f1,rougeL,bleu,retriever,generator
0,when is the last episode of season 8 of the walking dead,"March 18, 2018","February 25, 2018",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,BM25,T5
1,in greek mythology who was the goddess of spring growth,"Persephone (/pərˈsɛfəni/; Greek: Περσεφόνη), also called Kore (/ˈkɔːriː/; ""the maiden"")",Selene,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BM25,T5
6,what is the name of the most important jewish text,the Shulchan Aruch,Torah,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BM25,T5
8,what is the name of spain's most famous soccer team,Real Madrid,I don't know,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BM25,T5
9,when was the first robot used in surgery,1983,1860s,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BM25,T5
13,who sings the song i don't care i love it,Icona Pop and Charli XCX,Britney Spears,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BM25,T5
16,who are uncle owen and aunt beru related to,Shmi,Gwen,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BM25,T5
20,100 acres is equal to how many hectares,1 square hectometre (hm2),0.405,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BM25,T5
22,where was donovan mitchell picked in the draft,13th,13th overall pick,1,1,1,1,1.0,0.3333333333333333,0.2,0.2,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,BM25,T5
27,who is the president of costa rica 2017,Luis Guillermo Solís Rivera,Luis Guillermo Sols,1,1,1,1,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,0.0,0.5714285714285715,0.5,0.0,BM25,T5
29,when did power rangers tv show come out,"August 28, 1993",1993,0,1,1,1,0.0,0.3333333333333333,0.2,0.1,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,BM25,T5
31,how many beverly hills cops movies are there,three,I don't know,1,1,1,1,1.0,0.3333333333333333,0.4,0.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,BM25,T5
32,who holds the most women's wimbledon titles,Martina Navratilova,Bill Russell,0,0,1,1,0.0,0.0,0.2,0.1,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,BM25,T5
39,where does the last name hickey come from,Irish origin,Australian,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BM25,T5
43,where is the greatest royal rumble taking place,"Jeddah, Saudi Arabia","Jeddah, Saudi Arabia",1,1,1,1,1.0,0.6666666666666666,0.4,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,BM25,T5
44,who sang my name is tallulah in bugsy malone,"Louise ""Liberty"" Williams",Wynne Evans,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BM25,T5
48,what is andy's sisters name in toy story,Molly,Sophie,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BM25,T5
