idx,question,gold,has_gold,pred_A,em_A,f1_A,hit@10_A,ent_label_A,ent_faith_A,ent_score_A,pred_B,em_B,f1_B,hit@10_B,ent_label_B,ent_faith_B,ent_score_B
0,when is the last episode of season 8 of the walking dead,"March 18, 2018",True,I don't know,0.0,0.0,0.0,contradiction,0,0.1738702803850174,The United States.,0.0,0.0,0.0,neutral,0,0.25484514236450195
1,in greek mythology who was the goddess of spring growth,"Persephone (/pərˈsɛfəni/; Greek: Περσεφόνη), also called Kore (/ˈkɔːriː/; ""the maiden"")",True,I don't know,0.0,0.0,0.0,neutral,0,0.020618673413991928,"The Egyptians divided the day into two 12 - hour periods, and used large obelisks to track the movement of the sun.",0.0,0.06666666666666667,0.0,neutral,0,0.37951162457466125
6,what is the name of the most important jewish text,the Shulchan Aruch,True,I don't know,0.0,0.0,0.0,contradiction,0,0.18868230283260345,The Torah is a Torah that is taught in the Torah.,0.0,0.14285714285714288,0.0,entailment,1,0.6828359961509705
8,what is the name of spain's most famous soccer team,Real Madrid,True,I don't know,0.0,0.0,1.0,contradiction,0,0.1578264832496643,/Td> /Tr> /Tr> /Tr> /Tr> /Tr> /Tr> /Tr> /Tr> /Tr> /T,0.0,0.0,1.0,contradiction,0,0.36379092931747437
9,when was the first robot used in surgery,1983,True,cells of life,0.0,0.0,0.0,neutral,0,0.1760578751564026,"Cell theory is the historic scientific theory, now universally accepted, that living organisms are made up of cells, that they are the basic",0.0,0.0,0.0,neutral,0,0.15311633050441742
13,who sings the song i don't care i love it,Icona Pop and Charli XCX,True,I don't know,0.0,0.0,0.0,neutral,0,0.1122191771864891,The Billboard Hot 100 is a chart that ranks the best singles of the United States.,0.0,0.0,0.0,entailment,1,0.9580484628677368
16,who are uncle owen and aunt beru related to,Shmi,True,I don't know,0.0,0.0,0.0,contradiction,0,0.11911953240633011,Hera).,0.0,0.0,0.0,entailment,1,0.422708660364151
19,where is zimbabwe located in the world map,"in southern Africa, between the Zambezi and Limpopo Rivers, bordered by South Africa, Botswana, Zambia and Mozambique",True,I don't know,0.0,0.0,0.0,contradiction,0,0.10989360511302948,The Republic of Zimbabwe /Th> /Th> /Tr> /Tr> /Tr> /Tr> /Tr> /Tr> /Tr> /Tr> ,0.0,0.06451612903225808,0.0,contradiction,0,0.3803670406341553
20,100 acres is equal to how many hectares,1 square hectometre (hm2),True,U.S. are covered by land tenure.,0.0,0.0,0.0,entailment,1,0.5635651350021362,U.S.,0.0,0.0,0.0,neutral,0,0.25663328170776367
22,where was donovan mitchell picked in the draft,13th,True,I don't know,0.0,0.0,1.0,contradiction,0,0.2030608355998993,"Donovan Mitchell Tr> Th colspan=""2""> No. 45 -- Utah Jazz /Th> /Th> /Th> /Th> /Th> /Th> /Th> /Th",0.0,0.0,1.0,entailment,1,0.8768400549888611
26,where did the beatles final live performance take place,the roof of the headquarters of the band's multimedia corporation Apple Corps at 3 Savile Row,True,I don't know,0.0,0.0,0.0,contradiction,0,0.1542579084634781,Wembley Stadium.,0.0,0.0,0.0,neutral,0,0.07528059929609299
27,who is the president of costa rica 2017,Luis Guillermo Solís Rivera,True,I don't know,0.0,0.0,0.0,contradiction,0,0.16036725044250488,Luis Guillermo Sols /Th> /Tr> /Tr> /Tr> /Tr> /Tr> /Tr> /Tr> /Tr> ,0.0,0.375,0.0,entailment,1,0.6372531652450562
29,when did power rangers tv show come out,"August 28, 1993",True,I don't know,0.0,0.0,0.0,neutral,0,0.007188296876847744,HBO show had been cancelled.,0.0,0.0,0.0,contradiction,0,0.003745800582692027
31,how many beverly hills cops movies are there,three,True,I don't know,0.0,0.0,1.0,contradiction,0,0.06360355764627457,"The show was renewed for a second season on May 16, 2016.",0.0,0.0,1.0,neutral,0,0.02655194140970707
32,who holds the most women's wimbledon titles,Martina Navratilova,True,I don't know,0.0,0.0,1.0,contradiction,0,0.1474703848361969,The following players were not in the Wimbledon Ladies'Singles Champions Tr> Th> Location /Th> Tr> Th> Venue /Th> AELTC /Tr> /Tr> Th> ,0.0,0.0,1.0,neutral,0,0.048795007169246674
34,where does jinx you owe me a coke come from,Jinx is a children's game with varying rules and penalties that occur when two people unintentionally speak the same word or phrase simultaneously,True,I don't know,0.0,0.0,0.0,neutral,0,0.17664018273353577,The Coca - Cola Company /Td> /Tr> /Tr> /Tr> Th> Manufacturer /Th> Td> The Coca - Cola Company /Td> /Tr,0.0,0.04878048780487805,0.0,entailment,1,0.6925239562988281
39,where does the last name hickey come from,Irish origin,True,I don't know,0.0,0.0,1.0,contradiction,0,0.16823509335517883,The surname is a common surname of Irish origin.,0.0,0.3636363636363636,1.0,entailment,1,0.9205325841903687
43,where is the greatest royal rumble taking place,"Jeddah, Saudi Arabia",True,Pacific Ocean).,0.0,0.0,1.0,neutral,0,0.061307284981012344,Pacific Ocean).,0.0,0.0,1.0,neutral,0,0.061307284981012344
44,who sang my name is tallulah in bugsy malone,"Louise ""Liberty"" Williams",True,I don't know,0.0,0.0,0.0,neutral,0,0.02524292841553688,"Kilmer is most remembered for  Trees '', which has been the subject of frequent parodies and references in popular culture.",0.0,0.0,0.0,entailment,1,0.47987934947013855
48,what is andy's sisters name in toy story,Molly,True,Earth,0.0,0.0,0.0,neutral,0,0.012152356095612049,The series marks the second woman - led animated series by Disney.,0.0,0.0,0.0,neutral,0,0.0015527067007496953
49,who sings with shaggy on it wasn me,English-Jamaican singer Rikrok,True,I don't know,0.0,0.0,0.0,contradiction,0,0.24212099611759186,/P>,0.0,0.0,0.0,contradiction,0,0.27642446756362915
51,what is the largest catholic high school in america,St. Francis Preparatory School,True,track & field,0.0,0.0,0.0,neutral,0,0.03161006048321724,"The Greater Los Angeles Area has ten major league professional teams : the Anaheim Ducks, the Los Angeles Angels, the Los Angeles Chargers, the Los Angeles Clippers, the Los Angeles Dodgers, the Los Angeles Galaxy, the Los Angeles Kings, the",0.0,0.0,0.0,neutral,0,0.41440045833587646
52,who established the peoples republic of china in 1949,Mao Zedong,True,Singapore Declaration,0.0,0.0,0.0,contradiction,0,0.05114476755261421,Singapore Declaration.,0.0,0.0,0.0,contradiction,0,0.020964784547686577
54,who sang take that look off your face,Marti Webb,True,I don't know,0.0,0.0,0.0,contradiction,0,0.13551291823387146,"Pat Brady ( actor ) ( 1914 -- 1972 ), best known as the  comical sidekick '' to Roy Rogers /Li> Li> Pan't Take My Eyes Off You '' /Th",0.0,0.0,0.0,entailment,1,0.5728130340576172
55,who plays percy in the lost city of z,Charlie Hunnam,True,I don't know,0.0,0.0,0.0,contradiction,0,0.14370699226856232,The wizard /Tr> is a fictional character in the Harry Potter series.,0.0,0.0,0.0,entailment,1,0.6128859519958496
58,who plays the first lady on house of cards,Joanna C. Going,True,I don't know,0.0,0.0,0.0,neutral,0,0.06563221663236618,Roseanne Barr,0.0,0.0,0.0,entailment,1,0.7172049283981323
