idx,question,gold,has_gold,pred_A,em_A,f1_A,hit@10_A,ent_label_A,ent_faith_A,ent_score_A,pred_B,em_B,f1_B,hit@10_B,ent_label_B,ent_faith_B,ent_score_B
0,when is the last episode of season 8 of the walking dead,"March 18, 2018",True,I don't know,0.0,0.0,0.0,contradiction,0,0.11653642356395721,The Walking Dead ( season 2) /Th> /Tr> /Tr> /Th> /Th> /Th> /Th> /Th> /Th> /Th> /Th> ,0.0,0.0,0.0,entailment,1,0.6973808407783508
1,in greek mythology who was the goddess of spring growth,"Persephone (/pərˈsɛfəni/; Greek: Περσεφόνη), also called Kore (/ˈkɔːriː/; ""the maiden"")",True,I don't know,0.0,0.0,0.0,contradiction,0,0.18433451652526855,Achilles is the son of the sea nymph.,0.0,0.11764705882352941,0.0,neutral,0,0.1382342427968979
6,what is the name of the most important jewish text,the Shulchan Aruch,True,I don't know,0.0,0.0,0.0,neutral,0,0.07940264046192169,"translators must revise errors as necessary and confirm that the translation is accurate, rather than simply copy - pasting machine - translated text into the English Wikipedia. /Li> Li> Do not translate text that appears unreliable or low - quality.",0.0,0.05,0.0,entailment,1,0.9585715532302856
8,what is the name of spain's most famous soccer team,Real Madrid,True,I don't know,0.0,0.0,0.0,neutral,0,0.017978930845856667,NBA Finals is the championship series for the NBA and the conclusion of the postseason.,0.0,0.0,0.0,neutral,0,0.010107270441949368
9,when was the first robot used in surgery,1983,True,I don't know,0.0,0.0,0.0,neutral,0,0.18656185269355774,"The Marsh test is a highly sensitive method in the detection of arsenic, especially useful in the field of forensic toxicology when arsenic was used as a poison.",0.0,0.0,0.0,entailment,1,0.9717356562614441
13,who sings the song i don't care i love it,Icona Pop and Charli XCX,True,I don't know,0.0,0.0,0.0,neutral,0,0.17921778559684753,The song was written by Homer Banks and Bettye Crutcher.,0.0,0.13333333333333333,0.0,contradiction,0,0.009022409096360207
16,who are uncle owen and aunt beru related to,Shmi,True,I don't know,0.0,0.0,0.0,neutral,0,0.2541215121746063,The person becomes a survivor after completing treatment.,0.0,0.0,0.0,neutral,0,0.013342253863811493
19,where is zimbabwe located in the world map,"in southern Africa, between the Zambezi and Limpopo Rivers, bordered by South Africa, Botswana, Zambia and Mozambique",True,I don't know,0.0,0.0,0.0,neutral,0,0.017630398273468018,"The headwaters of the Cedar River are located in Dodge County, Minnesota, consisting of a west fork and middle fork approximately three miles northeast of the town of Blooming Prairie, and an east fork approximately one mile south of the town of Hayfield.",0.0,0.16666666666666666,0.0,entailment,1,0.6717451214790344
20,100 acres is equal to how many hectares,1 square hectometre (hm2),True,electrolytes ( salts in solution) in the various body fluids,0.0,0.0,0.0,neutral,0,0.15646828711032867,The basic principle of fluid balance is that the amount of water lost from the body must equal the amount of water.,0.0,0.0,0.0,neutral,0,0.05533498153090477
22,where was donovan mitchell picked in the draft,13th,True,I don't know,0.0,0.0,0.0,entailment,1,0.7341489195823669,"The series was officially picked up on May 6, 2015, and received a full season order on November 30, 2015.",0.0,0.0,0.0,neutral,0,0.0470287911593914
26,where did the beatles final live performance take place,the roof of the headquarters of the band's multimedia corporation Apple Corps at 3 Savile Row,True,I don't know,0.0,0.0,0.0,neutral,0,0.027941595762968063,"The field grew from eight teams in the beginning to sixty - five teams by 2001 ; as of 2011, sixty five teams",0.0,0.16216216216216214,0.0,neutral,0,0.0038951991591602564
27,who is the president of costa rica 2017,Luis Guillermo Solís Rivera,True,I don't know,0.0,0.0,0.0,contradiction,0,0.16036725044250488,Luis Guillermo Sols /Th> /Tr> /Tr> /Tr> /Tr> /Tr> /Tr> /Tr> /Tr> ,0.0,0.375,0.0,entailment,1,0.6372531652450562
