metric,value
coverage,0.32366666666666666
em_mean,0.0
f1_mean,0.021061758444309357
rougeL_mean,0.019982670184344093
bleu_mean,8.295838621902329e-05
n_eval_retrieval,971.0
recall@1,0.39855818743563337
precision@1,0.39855818743563337
mrr@1,0.39855818743563337
recall@3,0.4963954685890834
precision@3,0.20254033642293257
mrr@3,0.44267078613113614
recall@5,0.5190525231719877
precision@5,0.13923789907312112
mrr@5,0.4479231033299002
recall@10,0.5561277033985582
precision@10,0.08671472708547888
mrr@10,0.4527185196083239
