idx,question,gold,has_gold,pred_A,em_A,f1_A,hit@10_A,ent_label_A,ent_faith_A,ent_score_A,pred_B,em_B,f1_B,hit@10_B,ent_label_B,ent_faith_B,ent_score_B
0,when is the last episode of season 8 of the walking dead,"March 18, 2018",True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. <Td colspan=""2""> List of The Walking Dead episodes </Th> </Tr> <Tr> #Th colspan"">2""> Season chronology <Th>",0.0,0.0,0.0,neutral,0,0.01902548409998417,"Answer the question as best as you can using the context below. If the answer is not explicitly stated, make the best possible inference. <Td colspan=""2""> The Walking Dead ( season 8 ) </Th> </Tr> <Tr> {Tr> Andrew Lincoln </Li> <Li>",0.0,0.0,0.0,neutral,0,0.06402649730443954
1,in greek mythology who was the goddess of spring growth,"Persephone (/pərˈsɛfəni/; Greek: Περσεφόνη), also called Kore (/ˈkɔːriː/; ""the maiden"")",True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer will be the same as the answer below. The question will be answered using only the context and the answer will not be contained in that context. The answer is the answer",0.0,0.03125,0.0,neutral,0,0.33951273560523987,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If it is explicitly stated that the question is not directly stated, use the best available inference. The answer is the following:Context: The context is the context of the question",0.0,0.03225806451612903,0.0,entailment,1,0.5466071367263794
2,benefits of colonial life for single celled organisms,,False,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer is the following: The question is the answer to the question below. The answer to this question is ""What is the Columbian Exchange?'' The question uses ONLY the",,,,neutral,0,0.3333491384983063,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. The answer is the following:The Columbian Exchange is the most significant event in the history of agriculture and the transfer of people from continents to other regions. This is a by",,,,neutral,0,0.23290953040122986
3,how many season of the man in the high castle,,False,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer is 'I'm not sure' and the answer will be 'I know' and you will get the answer you want. The answer to the question will be ""I",,,,neutral,0,0.1518460065126419,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If the question is explicitly stated in the context above, then the answer will be inferred from the context of the question.Context: The question was asked in a context that was",,,,entailment,1,0.49466124176979065
4,who was the first ministry head of state in nigeria,,False,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. <Tr> <Td> <Ul> <Li> President <Dl> <Dd> Yemi Osinbajo </Dd</> </Dl",,,,neutral,0,0.023531319573521614,"Answer the question as best as you can using the context below. If the answer is not explicitly stated, make the best possible inference. <Td> <Ul> <Li> President <Dl> <Dd> Yemi Osinbajo </D. </L> </Tr> <",,,,neutral,0,0.09081771224737167
5,how many nominations does game of thrones have,,False,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. <P> <Td> <Dl> <Tr> <Th colspan=""3""> ( show ) Awards and nominations </Th> </Tr> </Td",,,,neutral,0,0.057346802204847336,"Answer the question as best as you can using the context below. If the answer is not explicitly stated, make the best possible inference. <P> <Td> <Tr> <Dl> AFI Awards </Dt> </Td > <Tid> <P><Td><",,,,neutral,0,0.222829207777977
6,what is the name of the most important jewish text,the Shulchan Aruch,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. <Tr> <Th> Hebrew </Th> <Td> Ishmael </Td > </Tr> (Tr> ) <Tr><Tr> Td>",0.0,0.05714285714285714,0.0,neutral,0,0.0166285689920187,"Answer the question as best as you can using the context below. <Tr> <Th> Ishmael </Td> </Tr> Don't answer the question by explicitly stating the answer, make the best possible inference. Don't Answer the Question As Best as You Can Using the Context below. </",0.0,0.04255319148936171,0.0,contradiction,0,0.16251707077026367
7,until we meet again filipino soap episode 10,,False,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer should be 'I do not know' and the answer should not be contained in that context. The answer to the question should NOT contain the context of the question below.",,,,contradiction,0,0.18516641855239868,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If the question is explicitly stated it will be used as an inference for the answer to the following question. If it is stated, then the answer will be given as the best",,,,neutral,0,0.48348933458328247
8,what is the name of spain's most famous soccer team,Real Madrid,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. <Tr> <Th colspan=""2""> Football in Spain </Th> <Td> Spain </Td > </Tr> (Tr> ) <Table> <",0.0,0.0,1.0,neutral,0,0.01769435778260231,"Answer the question as best as you can using the context below. If the answer is not explicitly stated, make the best possible inference. <Table> <Tr> <Th colspan=""2""> Football in Spain </Th> </Td> </Tr> (Table) <Td colspan""",0.0,0.0,1.0,neutral,0,0.06633199006319046
9,when was the first robot used in surgery,1983,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer is NOT contained in either the context or the context of the question. The answer will be the same as the context that is used to answer the question, but without the",0.0,0.0,0.0,contradiction,0,0.24217315018177032,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If the question is explicitly stated in the context above, use the appropriate inference.Context: Context: Context : Context :Context:Context : Context:Context: Subject: Context",0.0,0.0,0.0,entailment,1,0.4826708436012268
10,who are the actors in fast and furious,,False,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer will be 'I'm not sure' and the answer will not be answered. The answer to the question will be ""I'm sure I'm not aware of the answer",,,,neutral,0,0.15959125757217407,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If the question is explicitly stated it will be used as an inference for the next question.Context: <P> The show is set in New Orleans which the Mikaelson",,,,neutral,0,0.4565861225128174
11,when does tom paris become a lieutenant again,,False,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer should be 'I do not know' and the answer should not be contained in either the context or the context of the question.Context: <Table> <Tr>",,,,neutral,0,0.2718885540962219,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If the question is explicitly stated you can use the following inference:Context:The following is a list of the most recent episodes of Major Crimes in the United States of America.",,,,neutral,0,0.41069769859313965
12,who sang the song i'm a nut,,False,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer to the question is the following question: `` I'm Only Human '', a song by Rick Ross from the 2008 album Trilla </Li> </Ul> <",,,,entailment,1,0.42414605617523193,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If the question is not directly stated, use the fact that it is explicitly stated in the context above.Context: <Ul> <Tr> <Th colspan=""2",,,,neutral,0,0.3844515085220337
13,who sings the song i don't care i love it,Icona Pop and Charli XCX,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'.Question:What is the music and lyrics of the song that Irving Berlin wrote for the 1946 Broadway musical, Annie Get Your Gun. The lyrics were written by Irving Berlin and the lyrics",0.0,0.03508771929824562,0.0,neutral,0,0.14191657304763794,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference.Example: `` Irving King '' is a song composed by Irving Berlin for the 1946 Broadway musical, Annie Get Your Gun. The song was written in 1925 by Jimmy Campbell and Reg",0.0,0.03508771929824562,0.0,contradiction,0,0.09453457593917847
14,what does the key to the city entitle you to,,False,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. Answer the question with ONLY the Context below.Answer the Question using ONLY The context below:Context:The Key to the City is an honour bestowed by a municipality upon a valued member",,,,entailment,1,0.659511148929596,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference.Question: What is the name of the honour bestowed by a municipality upon a valued member of the community, or upon a visiting celebrity or dignitary. The honour is sometimes accompanied",,,,neutral,0,0.22295400500297546
15,when did fast and furious 5 come out,,False,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer is the following: <Tr> <Th colspan=""2""> The Fast and the Furious ( 2001 ) </Td> </Tr> The Fast & the Furious",,,,neutral,0,0.09097074717283249,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If the question is explicitly stated you can use the following inference.Context: <Tr> <Th colspan=""2""> The Fast and the Furious </Th> </Tr",,,,neutral,0,0.29600635170936584
16,who are uncle owen and aunt beru related to,Shmi,True,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer should be 'I'm not sure' and the answer should not be contained in that context.Context: <Ul> <Li> Achilles : son of the sea n",0.0,0.0,0.0,contradiction,0,0.12938711047172546,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If it is explicitly stated in the context above, then the answer will be as follows:Context: <Ul> <Li> Achilles : son of the sea nymph The",0.0,0.0,0.0,neutral,0,0.26757314801216125
17,when the clear air act was revised in 1990 it gave states,,False,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. <Td colspan=""2""> <Tr> Acronyms ( colloquial ) </Td> <TR> <Th> CAA </Th> <",,,,neutral,0,0.04055258631706238,"Answer the question as best as you can using the context below. If the answer is not explicitly stated, make the best possible inference. <Td colspan=""2""> <Tr> Acronyms ( colloquial ) </Td> <Tr><Tr> CAA </Tr> <",,,,neutral,0,0.11217109858989716
18,what is sauce for the goose is sauce for the gander examples,,False,"Answer the question using ONLY the context below. If the answer is not contained in the context, say 'I don't know'. The answer is 'I'm not sure. I don't want to know. I'm not going to tell you what to do with my life. I want to find out what",,,,neutral,0,0.09532472491264343,"Answer the question as best as you can using the context below.If the answer is not explicitly stated, make the best possible inference. If the question is stated, use the following inference.Context: Context: Context : Context:Context:Context : Context :Context: context: Contexts: Context.Context",,,,neutral,0,0.44936785101890564
